Joint,Movement,Category,ID,Title,Description,Tools,Hold Seconds,Sets,Reps,YoutubeID
Elbow,flexion,inhibit,el_inh_flex1,삼두근 SMR,폼롤러를 상완 후면에 대고 팔을 뻗은 채 삼두근을 롤링합니다.,폼롤러,30.0,,,
Elbow,flexion,lengthen,el_len_flex1,삼두근 스트레칭,한 손으로 반대 팔꿈치를 잡아 머리 뒤로 넘기고 30초 유지합니다.,,30.0,2.0,,
Elbow,flexion,activate,el_act_flex1,이두근 컬 (밴드),밴드를 발로 밟고 천천히 팔꿈치를 굽혀 이두근을 수축합니다.,탄성 밴드,,3.0,12.0,
Elbow,extension,inhibit,el_inh_ext1,이두근 SMR,반대 손이나 마사지 볼로 상완 이두근 부위를 압박합니다.,마사지 볼,30.0,,,
Elbow,extension,lengthen,el_len_ext1,이두근 스트레칭,벽에 손바닥을 대고 팔을 뒤로 돌려 이두근을 30초 늘입니다.,,30.0,2.0,,
Elbow,extension,activate,el_act_ext1,삼두근 킥백 (밴드),상체를 앞으로 숙이고 팔꿈치를 고정한 채 팔을 뒤로 뻗어 삼두근을 수축합니다.,탄성 밴드,,3.0,12.0,
Elbow,supination,inhibit,el_inh_sup1,전완 회내근 SMR,마사지 볼로 전완 내측(회내근 부위)을 30초 압박합니다.,마사지 볼,30.0,,,
Elbow,supination,lengthen,el_len_sup1,전완 회내근 스트레칭,팔꿈치를 굽힌 상태에서 손바닥이 위를 향하도록 천천히 회전하며 30초 유지합니다.,,30.0,2.0,,
Elbow,supination,activate,el_act_sup1,전완 회외근 강화,밴드를 잡고 팔꿈치를 옆구리에 고정한 채 손바닥이 위를 향하도록 회전합니다.,탄성 밴드,,3.0,15.0,
Elbow,pronation,inhibit,el_inh_pro1,전완 회외근 SMR,마사지 볼로 전완 외측(회외근 부위)을 30초 압박합니다.,마사지 볼,30.0,,,
Elbow,pronation,lengthen,el_len_pro1,전완 회외근 스트레칭,팔꿈치를 굽힌 상태에서 손바닥이 아래를 향하도록 회전하며 30초 유지합니다.,,30.0,2.0,,
